MDEC-33,VE1_Dzp,ATSC6e,minaaN,SpMax4_Bhm,nAtomLAC,VE3_Dzs,pEC50
6.128444696,0.047566719,0.769280423,3.822546624,3.681277271,0,-6.042747628,5.85
8.397269619,0.145029402,0.451123999,3.953642707,3.70137208,0,-7.43897746,5.1
10.20450652,0.144579453,0.999465839,3.819424819,3.701895075,0,-5.99291263,7.48
10.93748345,0.234112696,-0.89389629,3.862044084,3.70215469,0,-6.997138105,7.57
9.897104885,0.149254969,-0.188065736,4.183283861,3.785305541,0,-6.667747186,8.05
8.397269619,0.129643899,0.670475687,3.832246428,3.701678271,0,-7.108689106,7.22
10.93748345,0.204096317,-1.341525917,3.855961688,3.701791609,0,-7.460888822,6.85
8.144880739,0.127633685,5.369159421,3.832246428,3.70159765,0,-6.706685995,5.29
8.397269619,0.106134562,0.960218372,4.016142707,3.713933858,0,-6.6067393,5.07
10.25631553,0.129903553,-1.405661837,4.368531054,3.790769212,0,-2.354110082,7.55
7.710276239,0.185390122,0.640290584,3.890010696,3.702434505,0,-9.193406696,5.36
10.97239121,0.162640599,-0.10005855,4.163921436,3.752808411,0,-7.757079838,7.96
7.710276239,0.097617849,0.58240984,3.696534885,3.702710991,0,-6.430409783,6.4
8.397269619,0.115418024,0.781813928,3.693357539,3.702554606,0,-6.769898774,6.92
8.397269619,0.118795611,1.929709151,3.827144387,3.701437264,0,-6.646978882,5.82
8.611072917,0.15731561,1.990828509,4.039627288,3.742066286,2,-6.304266393,7.52
8.397269619,0.168484847,0.106038515,3.721135317,3.688082418,0,-8.153459293,6.27
10.20450652,0.115617907,0.460394591,3.821340793,3.701948602,0,-6.374234355,7.06
9.731498899,0.214200642,-0.579780092,3.882642875,3.70121412,3,-8.970390779,7.46
9.246992482,0.118747028,-0.05911223,4.151690872,3.749094059,0,-8.204517011,7.27
5.176552183,0.119246063,-0.121136442,3.878139951,3.697685417,0,-8.85330731,5.8
7.947659235,0.090250628,1.548445835,3.849319388,3.700641641,0,-6.063851015,5.89
8.397269619,0.130549114,0.56246224,3.905031596,3.701913539,0,-7.069771052,6.5
10.93748345,0.184390074,0.496394438,3.838391553,3.702244809,0,-6.784663111,6.27
9.31778556,0.124561124,1.562393794,4.180862004,3.785255646,0,-6.147356522,7.89
6.293005384,0.16624925,-0.139121,3.889501324,3.702221227,0,-10.95959841,5.52
6.010105134,0.137836545,0.306142,3.749964516,3.703324995,0,-11.36196798,5.8
8.611072917,0.182252093,1.955449192,4.192197691,3.75445935,2,-6.054984184,6.89
6.010105134,0.054144808,-0.011761,3.851618444,3.70167948,0,-11.60877576,6.31
7.710276239,0.185412125,-0.093972902,3.891280704,3.700989195,0,-8.618751913,6.11
8.397269619,0.106561419,1.167575112,3.943357539,3.713993689,0,-6.615878121,6.4
7.710276239,0.200762591,-0.720653935,3.835423774,3.701644171,0,-8.335546559,5.17
6.293005384,0.134836706,-1.612297626,3.85019983,3.700891876,0,-5.834456429,6.55
8.611072917,0.09520951,2.830290324,4.1908658,3.761029404,3,-5.834907398,7.15
8.397269619,0.22001798,0.209278063,3.896527701,3.702283337,0,-9.783577101,5.87
6.010105134,0.152386611,0.24675,3.888853405,3.702420559,0,-15.36798473,6.25
8.397269619,0.193097579,0.168854684,3.883198768,3.701138307,4,-7.437325355,7.28
